NAME,GENDER,START AGE,END AGE,STATE,INCOME,STUDENT,MARRIED
Savitribai Jyotirao Phule Fellowship For Single Girl Child,female,15,50,central,0,yes,no
Post Graduate Indira Gandhi Scholarship For Single Girl Child,female,16,30,central,0,yes,no
Scheme For Award Of Financial Assistance For Education To The Wards Of Beedi/Cine/IOMC/LSDM Workers � Pre & Post-Matric,female,0,30,cental,10000,yes,no
Scholarships For Higher Education Abroad To Meritorious Boys And Girls From Open Category,female,18,30,maharashtra,800000,yes,no
Scholarships For Higher Education Abroad To Meritorious Boys And Girls From Open Category,male,18,30,maharashtra,800000,yes,no
Scholarship for Fatherless Girls,female,5,18,madhya pradesh,0,yes,no
Moovalur Ramamirtham Ammaiyar Higher Education Assurance Scheme,female,16,25,tamil nadu,0,yes,no
Educational Assistance For Children Of Victims Of Crime,male,0,20,kerala,100000,yes,no
Educational Assistance For Children Of Victims Of Crime,female,0,20,kerala,100000,yes,no
"Financial Assistance To Disabled Students Pursuing (10th, 11th, 12th Equivalent Exams)",male,14,18,kerala,0,yes,no
"Financial Assistance To Disabled Students Pursuing (10th, 11th, 12th Equivalent Exams)",female,14,18,kera;a,0,yes,no
"Scheme for Grant of Additional Scholarship to the Students of Other Backward Classes of Andaman and Nicobar Islands, for Pursuing Higher Studies Anywhere in India after Secondary Level (Except Class XI & XII)",male,15,18,andaman and nicobar,0,yes,no
"Scheme for Grant of Additional Scholarship to the Students of Other Backward Classes of Andaman and Nicobar Islands, for Pursuing Higher Studies Anywhere in India after Secondary Level (Except Class XI & XII)",female,15,18,andaman and nicobar,0,yes,no
National Family Benefit Scheme - Uttar Pradesh,male,18,60,uttar pradesh,56450,yes,yes
National Family Benefit Scheme - Uttar Pradesh,female,18,60,uttar pradesh,56450,yes,yes
National Family Benefit Scheme - Uttar Pradesh,female,18,60,uttar pradesh,56450,yes,no
National Family Benefit Scheme - Uttar Pradesh,female,18,60,uttar pradesh,56450,no,yes
National Family Benefit Scheme - Uttar Pradesh,female,18,60,uttar pradesh,56450,no,no
National Family Benefit Scheme - Uttar Pradesh,male,18,60,uttar pradesh,56450,no,yes
National Family Benefit Scheme - Uttar Pradesh,male,18,60,uttar pradesh,56450,yes,no
National Family Benefit Scheme - Uttar Pradesh,male,18,60,uttar pradesh,56450,no,no
Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students,male,10,18,central,100000,yes,no
Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students,female,10,18,central,100000,yes,yes
Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students,female,10,18,central,100000,yes,no
Airavata Scheme,male,21,60,karnataka,500000,yes,yes
Airavata Scheme,male,21,60,karnataka,500000,yes,no
Airavata Scheme,male,21,60,karnataka,500000,no,yes
Airavata Scheme,male,21,60,karnataka,500000,no,no
Airavata Scheme,female,21,60,karnataka,500000,yes,yes
Airavata Scheme,female,21,60,karnataka,500000,yes,no
Airavata Scheme,female,21,60,karnataka,500000,no,yes
Airavata Scheme,female,21,60,karnataka,500000,no,no
Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities,male,18,28,central,0,yes,yes
Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities,male,18,28,central,0,no,yes
Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities,male,18,28,central,0,yes,no
Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities,male,18,28,central,0,no,no
Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities,female,18,28,central,0,yes,yes
Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities,female,18,28,central,0,no,yes
Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities,female,18,28,central,0,yes,no
Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities,female,18,28,central,0,no,no
Assam Arogya Nidhi Scheme,male,0,60,assam,500000,yes,yes
Assam Arogya Nidhi Scheme,male,0,60,assam,500000,yes,no
Assam Arogya Nidhi Scheme,male,0,60,assam,500000,no,no
Assam Arogya Nidhi Scheme,male,0,60,assam,500000,no,yes
Assam Arogya Nidhi Scheme,female,0,60,assam,500000,no,no
Assam Arogya Nidhi Scheme,female,0,60,assam,500000,yes,yes
Assam Arogya Nidhi Scheme,female,0,60,assam,500000,no,yes
Assam Arogya Nidhi Scheme,female,0,60,assam,500000,yes,no
Financial Assistance For Purchase Of Stationery To SC/ST/OBC/Minorities Students,male,4,18,central,200000,yes,no
Financial Assistance For Purchase Of Stationery To SC/ST/OBC/Minorities Students,female,4,18,central,200000,yes,no
Mukhyamantri Shramik Siyaan Sahayata Yojana,male,59,60,central,0,no,yes
Mukhyamantri Shramik Siyaan Sahayata Yojana,male,59,60,central,0,no,no
Mukhyamantri Shramik Siyaan Sahayata Yojana,female,59,60,central,0,no,yes
Mukhyamantri Shramik Siyaan Sahayata Yojana,female,59,60,central,0,no,no
Scheme For Award Of Financial Assistance For Education To The Wards Of Beedi/Cine/IOMC/LSDM Workers � Pre & Post-Matric,male,10,27,central,100000,yes,no
Scheme For Award Of Financial Assistance For Education To The Wards Of Beedi/Cine/IOMC/LSDM Workers � Pre & Post-Matric,female,10,27,central,100000,yes,no
Mahatma Gandhi National Rural Employment Guarantee Act,female,18,60,central,0,yes,yes
Mahatma Gandhi National Rural Employment Guarantee Act,female,18,60,central,0,yes,no
Mahatma Gandhi National Rural Employment Guarantee Act,female,18,60,central,0,no,no
Mahatma Gandhi National Rural Employment Guarantee Act,female,18,60,central,0,no,no
Mahatma Gandhi National Rural Employment Guarantee Act,male,18,60,central,0,yes,no
Post Matric Scholarship For Scheduled Caste,female,18,27,punjab,250000,yes,yes
Post Matric Scholarship For Scheduled Caste,female,18,27,punjab,250000,yes,no
Post Matric Scholarship For Scheduled Caste,female,18,27,punjab,250000,no,no
Top Class Education For Students With Disabilities,female,18,25,central,600000,yes,yes
Top Class Education For Students With Disabilities,female,18,25,central,600000,yes,no
Top Class Education For Students With Disabilities,male,18,25,central,600000,yes,yes
Foster Care Scheme (Vatsalaya),male,0,60,central,0,yes,no
Foster Care Scheme (Vatsalaya),male,0,60,central,0,no,no
Foster Care Scheme (Vatsalaya),male,0,60,central,0,no,yes
Foster Care Scheme (Vatsalaya),female,0,60,central,0,yes,no
Foster Care Scheme (Vatsalaya),female,0,60,central,0,no,no
Foster Care Scheme (Vatsalaya),female,0,60,central,0,no,yes
Dr. B.R. Ambedkar Awas Navinikarn Yojna,male,0,60,central,0,yes,yes
Dr. B.R. Ambedkar Awas Navinikarn Yojna,male,0,60,central,0,yes,no
Dr. B.R. Ambedkar Awas Navinikarn Yojna,male,0,60,central,0,no,no
Dr. B.R. Ambedkar Awas Navinikarn Yojna,male,0,60,central,0,no,no
Dr. B.R. Ambedkar Awas Navinikarn Yojna,female,0,60,central,0,yes,yes
Dr. B.R. Ambedkar Awas Navinikarn Yojna,female,0,60,central,0,yes,no
Dr. B.R. Ambedkar Awas Navinikarn Yojna,female,0,60,central,0,no,no
Dr. B.R. Ambedkar Awas Navinikarn Yojna,female,0,60,central,0,no,yes
Contributory Social Security Scheme,male,18,60,jammu and Kashmir,48000,yes,no
Contributory Social Security Scheme,male,18,60,jammu and Kashmir,48000,no,no
Contributory Social Security Scheme,male,18,60,jammu and Kashmir,48000,no,yes
Contributory Social Security Scheme,female,18,60,jammu and Kashmir,48000,yes,yes
